file,PRODUCT_ID,alt_spice,alt_label,cenlat_spice,cenlat_label,cenlon_spice,cenlon_label,em_spice,em_label,in_spice,in_label,range_km,c1_lat,c1_lon,c2_lat,c2_lon,c3_lat,c3_lon,c4_lat,c4_lon,cenlat_mid,cenlon_mid,em_mid
n02_15km/n02a.map,JIR_IMG_RDR_2017033T114813_V02,101746.55434817204,101763.0,83.50413795964741,83.4959,300.6691395098278,300.677,11.416923062289717,11.4079,94.51565880922432,94.5176,102613.14469953973,83.65556627894219,344.2228198623319,81.33041735868386,333.05900751218024,80.63158336446324,272.9334521164661,82.72387042570739,260.6531857304477,67.4481546171151,128.49050702183766,51.78660492934
n02_15km/n02b.map,JIR_IMG_RDR_2017033T114843_V02,100889.22632452137,100905.0,84.95986807122817,84.9509,298.58666740229165,298.601,13.238838156594674,13.2288,94.21347236968425,94.2155,102052.03013436114,84.76530961268965,353.5462416669477,82.6327146431128,337.5975438406786,81.82849665329267,267.0603176968896,83.67540545974794,250.83886177792238,65.21177564164488,128.01590985983793,54.35688987753647
n02_15km/n02c.map,JIR_IMG_RDR_2017033T114914_V02,100031.40952329722,100046.0,86.36985130774752,86.3786,295.18715764858,295.16,15.003093839580213,15.0203,93.91749917881187,93.9158,101521.63242112932,85.6344512652447,6.9702381433570535,83.82784385649133,343.93477244989305,82.89442187950921,259.59610337576163,84.38125509932588,238.4846148360039,62.91042748174661,127.56442046670831,56.97826879014047
n02_15km/n02d.map,JIR_IMG_RDR_2017033T114944_V02,99173.00153150827,99187.3,87.79154515355785,87.7994,287.6253389006992,287.558,16.822706176671034,16.8389,93.61233159446827,93.6107,101042.8150271836,86.1520085964511,26.07702663827801,84.92337740270064,353.56809114983474,83.82976849810713,249.53342057610652,84.78057139362157,223.0945617974804,60.354643162950715,127.12237498728038,59.8762471734824
n02_15km/n02e.map,JIR_IMG_RDR_2017033T115015_V02,98314.15342739233,98327.8,89.0269038716678,89.0321,260.3637243020077,260.052,18.558709437736503,18.5737,93.31696915813906,93.3154,100585.08630465828,86.14761471202772,47.058915429499336,85.76143670385252,7.266119762481697,84.50689359480091,237.0505195718242,84.78446510349278,207.1118215786324,57.69984537097184,126.69617569218818,62.85414182024263
n02_15km/n02f.map,JIR_IMG_RDR_2017033T115045_V02,97454.73531408152,97467.7,88.96879719811129,88.9637,167.18289989376117,166.929,20.354475543889826,20.3687,93.01139036284783,93.0099,100181.0276406021,85.62466283293716,65.96189296878913,86.24481761124353,26.635253648733432,84.8792700261785,221.59226099371233,84.39346945303119,191.77898801104686,54.633135957392476,126.2721658707298,66.2728823531202
n02_15km/n02g.map,JIR_IMG_RDR_2017033T115116_V02,96594.8146681977,96607.1,87.67164591567563,87.6659,142.1171859193825,142.073,22.15411526686077,22.1671,92.70342612564656,92.7021,99818.3159872022,84.72557325205277,79.61042601344516,86.19912926646742,48.43028591038175,84.85379137045673,205.05346572830598,83.67206609608223,179.08380679581987,51.06937998800834,125.85075742489948,70.20756300984276
n02_15km/n02h.map,JIR_IMG_RDR_2017033T115146_V02,95734.43131994292,95746.1,86.26727292270044,86.2617,135.22090809168753,135.205,23.931342306634118,23.9438,92.39682134084022,92.3955,99488.75317842851,83.6169048534693,88.7346004931982,85.64785792116135,66.86562186698825,84.44130159283624,189.97948598386145,82.72638662684274,169.33656980569666,46.69832531975184,125.42729051414511,74.97678810752971
n02_15km/n02i.map,JIR_IMG_RDR_2017033T115217_V02,94873.62558766444,94884.7,84.87105664679795,84.8664,131.9927196444271,131.986,25.659063818491532,25.6701,92.09580859684039,92.0946,99181.42470315985,82.41253139261067,94.82937016597243,84.77292428224355,79.75620215807002,83.73804984143506,177.86007309061046,81.65251930342355,162.0375791450982,40.33030069200326,124.9844615381257,81.82248483901748
n02_15km/n02j.map,JIR_IMG_RDR_2017033T115247_V02,94012.26889263891,94022.7,83.40015070693654,83.3961,129.95394859978683,129.95,27.48234722261268,27.4925,91.77926511215117,91.7782,98945.45734974711,81.0724330645157,99.29873483321929,83.64965261711265,88.83751461361442,82.77795126984893,168.08938294182767,80.4201832415839,156.18096268375007,nan,nan,nan
n02_15km/n02k.map,JIR_IMG_RDR_2017033T115318_V02,93150.51530752119,93160.4,81.95238330883704,81.9488,128.56150360258079,128.559,29.260392762585724,29.2698,91.46726996747657,91.4663,98733.007988259,79.70930143562126,102.44336234497761,82.43252099546034,94.86313366246199,81.69080161213502,160.80942700781674,79.14023863762975,151.68784787512865,nan,nan,nan
n02_15km/n02l.map,JIR_IMG_RDR_2017033T115348_V02,92288.29356127333,92297.6,80.46895376300293,80.4661,127.48422041746257,127.483,31.082107190286795,31.0904,91.14689384029984,91.146,98577.34372725872,78.28036402896748,104.81539544092507,81.1195614123863,99.15743939244288,80.48209704227573,155.11841726960148,77.77874423502024,148.0302024191715,nan,nan,nan
n03_15km/n03a.map,JIR_IMG_RDR_2017033T115620_V02,88008.68060937287,88015.2,83.51482936907635,83.5141,295.91503273869944,295.916,3.9893644104103183,3.9923,94.49835744172091,94.4987,88107.60650118408,83.81819409648521,333.2999774631718,81.76192793231571,324.8958294835753,81.14359834895531,270.8423045050214,83.01407988805,260.97987478143574,74.45594715171066,124.3187613508883,38.06012750593043
n03_15km/n03b.map,JIR_IMG_RDR_2017033T115650_V02,87143.94682473809,87150.0,85.00071979681451,84.9992,293.83265309191074,293.835,5.896132176005655,5.8979,94.18956585365459,94.1901,87359.34614867289,85.05123165341467,341.7178241051276,83.1388469078537,329.2205143690494,82.41645741257838,264.9092337505681,84.08750224586379,251.40548133618313,72.71626234464796,123.75172297029044,40.20762923378807
n03_15km/n03c.map,JIR_IMG_RDR_2017033T115721_V02,86278.90944007444,86284.4,86.45394536760618,86.452,290.33673786037195,290.343,7.76885759740941,7.7701,93.88403500775657,93.8846,86651.59838353208,86.08275068483937,355.07067021716415,84.4258409463775,335.66943182537875,83.56754615915582,256.96926503259294,84.93085308577432,238.46458054715907,70.95622484294712,123.22863063362696,42.36794829261761
n03_15km/n03d.map,JIR_IMG_RDR_2017033T115751_V02,85413.55800400233,85418.6,87.87398098887311,87.8715,282.5599142886619,282.582,9.634037801344952,9.6343,93.57849647891622,93.5791,85984.71556569172,86.75235890576488,15.793337222388855,85.58229469266455,345.8509452279474,84.55036143839251,246.0634332070943,85.44051091232511,221.73879935431793,69.14730830338185,122.73687111053282,44.57928822222559
n03_15km/n03e.map,JIR_IMG_RDR_2017033T115822_V02,84547.88268648222,84552.5,89.13719152090425,89.1352,249.7333169776674,249.895,11.518143973751094,11.5177,93.26977788546256,93.2704,85361.51258317244,86.8275349237344,42.01145401504543,86.49677547559857,2.499066145885364,85.2732444149953,231.1680658553622,85.50483115567212,202.69523675135872,67.25579324625285,122.26789242955866,46.885193641275066
n03_15km/n03f.map,JIR_IMG_RDR_2017033T115852_V02,83681.98778544215,83686.1,88.88431547435509,88.8874,157.1331987242853,157.254,13.346621794772865,13.345,92.967082449315,92.9679,84770.74272574473,86.28510727418656,64.10885637526809,86.93056533480286,26.357153597073193,85.59743889642263,213.16512020273487,85.11672916733626,185.36089205718378,65.34657309001724,121.82135116535949,49.192960524075815
n03_15km/n03g.map,JIR_IMG_RDR_2017033T115923_V02,82815.86487500233,82819.6,87.59326952155484,87.5974,136.11437731360238,136.143,15.147695628518168,15.1455,92.66706685833806,92.6679,84213.58807429318,85.35488706942631,78.69630979700398,86.73192938656766,51.698826887828254,85.46778847787895,194.63673469820412,84.38442447788765,171.66686198160164,63.3845459857994,121.3915399022815,51.54827080493557
n03_15km/n03h.map,JIR_IMG_RDR_2017033T115953_V02,81949.47780645096,81952.8,86.19627690359509,86.2013,129.79466624666665,129.808,16.97281154903535,16.9695,92.36302594512017,92.364,83698.57666808144,84.20600000791076,87.95804863091148,85.99394028685806,70.91349044855721,84.91903567332977,178.48308417334795,83.40853255022087,161.38919250202076,61.298581237169465,120.9718931977154,54.04198799491254
n03_15km/n03i.map,JIR_IMG_RDR_2017033T120024_V02,81082.84792109931,81085.8,84.76504878973603,84.7705,126.69428230177165,126.702,18.823759471210565,18.8198,92.05441372934943,92.0554,83227.43276104888,82.93332420242747,93.97771935593106,84.93626939475405,83.15584408052429,84.05695183221053,166.0550698537401,82.27095008363483,153.78189599129823,59.05945446423629,120.55968425531961,56.70482214138618
n03_15km/n03j.map,JIR_IMG_RDR_2017033T120054_V02,80216.08254905934,80218.7,83.35658733350286,83.3628,124.82102646434764,124.826,20.62601834957814,20.6211,91.75116857586902,91.7523,82782.92470343363,81.6272903738066,97.9494981242225,83.74896228342301,90.66972930008377,83.02344933942241,157.1496992234905,81.0650511472422,148.20889187116302,56.730138018274545,120.15781044064839,59.44680235003423
n03_15km/n03k.map,JIR_IMG_RDR_2017033T120125_V02,79349.17625634809,79351.4,81.95817832142181,81.9652,123.50062114374279,123.505,22.406351368292462,22.4002,91.44943711970646,91.4507,82368.94474648061,80.2976605062071,100.71995263756837,82.49551591964571,95.56227295252319,81.88622591465882,150.62736954959036,79.81187201348907,143.94804609563968,54.242651068097054,119.76168286292791,62.347909534233345
n03_15km/n03l.map,JIR_IMG_RDR_2017033T120155_V02,78482.09599322236,78484.0,80.53818118520329,80.5456,122.47188707007487,122.475,24.218023364090108,24.2112,91.1425329602195,91.1438,81999.53466181351,78.92463546953857,102.76172320628596,81.18040878327352,98.96946208443656,80.66035848532306,145.63571060506882,78.49926922737582,140.53441765568815,51.44964928345715,119.36784121537364,65.57958717877763
