product_id,cache_present,refined,fitted_offset_s,limb_points,median_absolute_residual_detector_px,reason
JNCR_2019043_18C00028_V02,True,True,-0.004701697590640828,263,0.8182572858740009,
JNCR_2019043_18C00029_V01,True,True,-0.012972333137460464,216,2.552169737959037,
JNCR_2019043_18C00030_V02,True,False,,188,,only 188 candidate limb points
JNCR_2019043_18C00031_V02,True,False,,156,,only 156 candidate limb points
JNCR_2019360_24C00013_V01,True,False,,89,,only 89 candidate limb points
JNCR_2019360_24C00015_V01,True,False,,191,,only 191 candidate limb points
JNCR_2019360_24C00017_V01,True,True,-0.006621076316140459,335,0.7269117557138927,
JNCR_2019360_24C00019_V01,True,True,-0.00712766182510546,418,0.8896134682297543,
JNCR_2019360_24C00021_V01,True,True,-0.00712766182510546,453,0.8935099863518587,
JNCR_2019360_24C00022_V01,True,True,-0.001509542439642859,372,1.1316809004465362,
JNCR_2019360_24C00023_V01,True,True,-0.004841714381677126,267,1.2022029958154405,
JNCR_2019360_24C00024_V01,True,False,,196,,only 196 candidate limb points
JNCR_2019360_24C00025_V01,True,False,,156,,only 156 candidate limb points
JNCR_2019360_24C00027_V01,True,False,,152,,only 152 candidate limb points
JNCR_2020313_30C00006_V01,True,False,,131,,only 131 candidate limb points
JNCR_2020313_30C00007_V01,True,True,-0.00817388632371139,268,0.8072140003397514,
JNCR_2020313_30C00008_V01,True,True,-0.010459833767139723,391,0.544348507168408,
JNCR_2020313_30C00009_V01,True,True,-0.010319816976103428,372,0.7119976390785112,
JNCR_2020313_30C00011_V01,True,True,-0.013425436991245288,438,0.5140064823585959,
JNCR_2020313_30C00013_V01,True,True,-0.010233281840247327,369,0.45938236279373257,
JNCR_2020313_30C00014_V01,True,True,-0.011559539920925833,440,0.5278707766474255,
JNCR_2020313_30C00015_V01,True,True,-0.014385126353995114,303,0.6620366105391291,
JNCR_2020313_30C00017_V01,True,True,-0.002242679875500261,270,0.7746688018146273,
JNCR_2020313_30C00019_V01,True,True,-0.012832316346424181,201,2.319482254079258,
JNCR_2020313_30C00021_V01,True,False,,170,,only 170 candidate limb points
JNCR_2020313_30C00022_V01,True,False,,150,,only 150 candidate limb points
JNCR_2020313_30C00023_V01,True,False,,118,,only 118 candidate limb points
JNCR_2020313_30C00024_V01,True,False,,111,,only 111 candidate limb points
JNCR_2020313_30C00025_V01,True,False,,108,,only 108 candidate limb points
JNCR_2020313_30C00039_V01,True,False,,99,,only 99 candidate limb points
JNCR_2020313_30C00040_V01,True,False,,115,,only 115 candidate limb points
JNCR_2021159_34C00041_V01,True,True,0.0031488875830698957,289,0.6164928998224894,
JNCR_2021159_34C00042_V01,True,True,4.3267567928070014e-05,344,0.7029244435908311,
JNCR_2021159_34C00043_V01,True,True,0.003375439509962307,317,0.4392018216864173,
JNCR_2021159_34C00044_V01,True,True,-0.001962646293427677,366,0.8146859372196502,
JNCR_2021159_34C00046_V01,True,True,0.0009164217948217441,358,0.6698591116231274,
JNCR_2021159_34C00047_V01,True,True,-0.0006898698679293324,403,1.0170122827707004,
JNCR_2021159_34C00048_V01,True,True,-0.003288904374106203,357,0.39248111184427614,
JNCR_2021159_34C00050_V01,True,True,-0.00543483502649823,304,1.1397456552774585,
JNCR_2021159_34C00051_V01,True,True,-0.0023292150113563715,344,1.3175581067834372,
JNCR_2021159_34C00053_V01,True,True,-0.01763076316017326,285,0.8351468448635373,
JNCR_2021159_34C00054_V01,True,True,0.004335128872712128,281,1.3801397454186457,
JNCR_2021159_34C00055_V01,True,True,0.004615162454784747,270,1.8254389452862574,
JNCR_2021159_34C00056_V01,True,True,0.0018761111575715844,274,2.128337039394708,
JNCR_2021159_34C00058_V01,True,True,-0.030193260011776996,228,1.2906666425452045,
JNCR_2021159_34C00059_V01,True,True,0.0015095424396428835,220,2.257436902388024,
JNCR_2021159_34C00060_V01,True,True,-0.0024692318023926737,219,2.37303898123605,
JNCR_2021159_34C00061_V01,True,False,,197,9.610738042535147,only 197 limb points (need 200)
JNCR_2021159_34C00062_V01,True,False,,199,,only 199 candidate limb points
JNCR_2021159_34C00063_V01,True,True,-0.013932022500210278,205,3.4248443377293256,
JNCR_2021159_34C00064_V01,True,True,-0.009726696331282331,210,1.7008460843330457,
JNCR_2021159_34C00066_V01,True,True,0.003288904374106203,223,1.7047739677861493,
JNCR_2021159_34C00067_V01,True,True,-0.003515456300998598,205,1.4362787085622095,
JNCR_2021159_34C00068_V01,True,False,,195,,only 195 candidate limb points
JNCR_2021159_34C00069_V01,True,True,0.00026981949482048886,227,0.6858402707714504,
JNCR_2021159_34C00070_V01,True,False,,193,,only 193 candidate limb points
JNCR_2021159_34C00071_V01,True,True,-0.004022041809963605,253,1.0233580789824543,
JNCR_2021159_34C00072_V01,True,True,-0.003742008227891013,253,1.1635956642563983,
JNCR_2021159_34C00073_V01,True,True,-0.0072141969609615724,278,0.7815248621426996,
JNCR_2021159_34C00074_V01,True,True,-0.0096401611954262,273,0.6306812810125564,
JNCR_2021159_34C00075_V01,True,True,-0.007580765678890278,282,0.6676428769879479,
JNCR_2021159_34C00076_V01,True,True,-0.011926108638854533,231,0.5246826568910024,
JNCR_2021159_34C00077_V01,True,True,-0.008820488623712685,270,0.21216172254673538,
